index,key,question,answer,vid_id,gif_name,description
0,F1DQD-3798,Did they hold a book for less time than they spent laughing at something?,yes,F1DQD,F1DQD,none
1,DUHWU-8396,What did they sit on before walking through a doorway but after grasping onto a doorknob?,chair,DUHWU,DUHWU,none
2,4LU0G-14022,What was the person touching while putting something on a table?,dish,4LU0G,4LU0G,none
3,WBATR-19700,What did they go in before holding some food?,clothes,WBATR,WBATR,none
4,5UNDJ-2303,Did they put down a dish between walking through a doorway and taking a dish from somewhere?,no,5UNDJ,5UNDJ,none
5,HS3XP-1224,Which object were they interacting with after watching something in the object they were in front of?,light,HS3XP,HS3XP,none
6,STYTN-5431,Was the person putting a bag somewhere before or after sitting on the thing they stood on?,before,STYTN,STYTN,none
7,CGPBZ-27433,"Of all the things the person was above while taking the first thing they wore from somewhere, was the last the object they were in front of first?",yes,CGPBZ,CGPBZ,none
8,N7IH0-9825,Which object were they putting down while holding the thing they carried?,bag,N7IH0,N7IH0,none
9,QT4W0-4754,Were they on the side of a chair or the object they were behind last while sitting at a table?,table,QT4W0,QT4W0,none
10,YC3OE-46478,Which object were they tidying before taking a pillow from somewhere but after going from standing to sitting?,clothes,YC3OE,YC3OE,none
11,O52BL-20979,Which object were they tidying between taking a phone from somewhere and putting a laptop somewhere?,table,O52BL,O52BL,none
12,8WZRF-9155,"Before taking a cup from somewhere but after sneezing somewhere, what was the person behind?",light,8WZRF,8WZRF,none
13,E18UD-3707,"While doing the action they did the longest, was a table or a laptop the thing they went on the side of?",laptop,E18UD,E18UD,none
14,X8DZV-99671,"Between going from standing to sitting and throwing a pillow somewhere, of everything the person went above, was the first some food?",no,X8DZV,X8DZV,none
15,0GH5O-6200,"Before starting to close a door, which was the person in front of, a blanket or some clothes?",clothes,0GH5O,0GH5O,none
16,ACMHK-4904,"While fixing their hair, were they in front of some food last?",no,ACMHK,ACMHK,none
17,V6IIE-1786,Is sitting in a chair or going from standing to sitting the activity that takes more time?,going from standing to sitting,V6IIE,V6IIE,none
18,2INEX-19777,Did they go behind some clothes last before standing up but after putting something on a table?,yes,2INEX,2INEX,none
19,1DGSW-1676,Which object did the person take while watching television?,clothes,1DGSW,1DGSW,none
20,IP2EA-151,Does someone interact with a chair between watching a book and putting a bag somewhere?,yes,IP2EA,IP2EA,none
21,8NW4J-109541,"Between putting a pillow somewhere and walking through a doorway, which object did the person hold last?",clothes,8NW4J,8NW4J,none
22,RSRZ0-1,Were they interacting with a window before starting to put a broom somewhere?,yes,RSRZ0,RSRZ0,none
23,3C9L1-1412,"Before putting something on a table, which object did the person sit on?",floor,3C9L1,3C9L1,none
24,ICL1M-2705,Which object were they above?,bed,ICL1M,ICL1M,none
25,106AY-92558,"Before holding some food but after turning on a light, which object were they leaning on?",chair,106AY,106AY,none
26,892RS-111049,Did they go behind the last thing they went on the side of first after putting a dish somewhere?,no,892RS,892RS,none
27,TIEA9-1637,Was the person holding a picture for less time than they were watching a picture?,yes,TIEA9,TIEA9,none
28,RBCU4-3213,What did they take after holding a book?,dish,RBCU4,RBCU4,none
29,2JKR8-9872,Was holding a dish something they did before or after they tidied something on the floor?,after,2JKR8,2JKR8,none
30,PN7CX-24118,Which object were they leaning on before putting shoes somewhere?,bed,PN7CX,PN7CX,none
31,UCT5X-6434,"After putting the object they were tidying somewhere, what were they doing?",walking through a doorway,UCT5X,UCT5X,none
32,1G9R7-8365,What was the person in front of after sitting in a bed?,dish,1G9R7,1G9R7,none
33,S7RXC-9175,Did they hold a box but not a closet while holding some medicine?,no,S7RXC,S7RXC,none
34,43OXO-16514,"Before starting to put a book somewhere, what did they go above?",bed,43OXO,43OXO,none
35,ZS9IX-13583,"Before putting clothes somewhere but after taking a laptop from somewhere, what did they open?",door,ZS9IX,ZS9IX,none
36,GC1Q1-6639,"After holding the thing they put down, did they go on the side of a doorway or a blanket?",blanket,GC1Q1,GC1Q1,none
37,M2F66-19743,"After closing the object they were opening, which object did the person go on the side of?",closet,M2F66,M2F66,none
38,L8HMR-3018,"In the video, was the person watching anything?",no,L8HMR,L8HMR,none
39,892RS-103816,Which object were they tidying between watching something in a mirror and opening a closet?,table,892RS,892RS,none
40,BLFEV-12855,"Between pouring something into a cup and standing up, which object were they in front of?",chair,BLFEV,BLFEV,none
41,NNUCA-5730,Were they holding both a closet and the thing they snuggled before smiling at something?,yes,NNUCA,NNUCA,none
42,LH6LE-10323,Did they go in front of some food last between putting something on a table and closing a closet?,no,LH6LE,LH6LE,none
43,L36YT-1958,What was the person tidying while holding a broom?,floor,L36YT,L36YT,none
44,NV4FC-100382,Which object did the person go in front of after sitting in the first thing they went on the side of?,paper,NV4FC,NV4FC,none
45,TQGPM-8003,Which object did the person go above after taking the object they were holding from somewhere?,bed,TQGPM,TQGPM,none
46,DGMDT-3304,Did they play on anything while putting a bag somewhere?,yes,DGMDT,DGMDT,none
47,HDMN4-21477,"Before lying on a bed but after drinking from a cup, what was the person in?",clothes,HDMN4,HDMN4,none
48,QHM66-12058,"Before closing a box, were they in front of some food last?",yes,QHM66,QHM66,none
49,N3OKQ-11557,"After sitting at a table, which did they go on the side of, a laptop or a table?",table,N3OKQ,N3OKQ,none
50,J3ZQS-23535,Which object did the person go in front of between putting a bag somewhere and taking a cup from somewhere?,bed,J3ZQS,J3ZQS,none
51,2BS0V-4168,"While opening a door, was a doorknob or a doorway the thing they went in front of?",doorknob,2BS0V,2BS0V,none
52,D8BTU-9982,"While holding the thing they put down, was the person touching both a closet and a table?",no,D8BTU,D8BTU,none
53,UYJVE-25449,"After opening the thing they put down, what was the person above?",bed,UYJVE,UYJVE,none
54,EPKTX-12651,"Which did they go on the side of after holding the thing they went in, some food or a bed?",bed,EPKTX,EPKTX,none
55,VLYM4-28245,"While taking the object they were putting down from somewhere, which object did the person go above first?",chair,VLYM4,VLYM4,none
56,KXAIZ-14109,What did they open before putting the thing they went beneath somewhere?,closet,KXAIZ,KXAIZ,none
